Program Description	Offering Unit(s)	Major	Interdepartmental Major	Concentration	Minor	Totals
africanamericanstudies	Institute for Research in African American Studies	6	0	7	0	13
americanstudies	American Studies	21	0	7	0	28
anthropology	Anthropology	24	0	9	0	33
archaeology	Archaeology	3	0	2	0	5
architecture	Architecture (Barnard)	10	0	0	0	10
arthistory	Art History & Archaeology	31	0	17	0	48
arthistoryandvisualarts	NA	0	2	0	0	2
asianamericanstudies	Asian American Studies	1	0	0	0	1
astronomy	Astronomy	1	0	3	0	4
astrophysics	Astronomy-Physics **	0	5	0	0	5
biochemistry	Biological Sciences-Chemistry **	0	15	0	0	15
biology	Biological Sciences	30	0	2	0	32
biophysics	Biological Sciences	1	0	0	0	1
chemistry	Chemistry	12	0	0	0	12
classics	Classics	7	0	4	0	11
comparativeethnicstudies	Center for the Study of Ethnicity and Race	3	0	2	0	5
comparativeliteratureandsociety	Center for Comparative Literature and Society	23	0	0	0	23
computerscience	Computer Science	10	0	6	0	16
computerscienceandmathematics	Computer Science-Mathematics **	0	1	0	0	1
dance	Dance (Barnard)	4	0	0	0	4
dramaandtheatrearts	Drama And Theatre Arts	6	0	0	0	6
earthscience	Earth and Environmental Sciences	1	0	1	0	2
eastasianstudies	East Asian Languages & Cultures	25	0	2	0	27
economics	Economics	102	0	14	0	116
economicsmathematics	Economics-Mathematics **	0	9	0	0	9
economicsoperationsresearch	Economics-Industrial Engineering & OperationsResearch **	0	10	0	0	10
economicsphilosophy	Economics-Philosophy **	0	9	0	0	9
economicspoliticalscience	Economics-Political Science **	0	24	0	0	24
economicsstatistics	Economics-Statistics **	0	1	0	0	1
english	English & Comparative Literature	98	0	25	0	123
environmentalbiology	Ecology, Evolution, and Environmental Biology	8	0	1	0	9
environmentalchemistry	Chemistry	2	0	0	0	2
environmentalscience	Earth and Environmental Sciences	2	0	0	0	2
evolutionarybiologyofthehumanspecies	Ecology, Evolution, and Environmental Biology	1	0	0	0	1
filmstudies	Film (School Of The Arts)	26	0	0	0	26
french	French & Romance Philology	12	0	7	0	19
germanliteratureandculturalhistory	Germanic Languages	6	0	1	0	7
hispanicstudies	Spanish & Portuguese	0	0	2	0	2
history	History	119	0	40	0	159
italian	Italian	0	0	2	0	2
italianculturalstudies	Italian	0	0	1	0	1
italianliterature	Italian	4	0	0	0	4
latinamericanstudies	Spanish & Portuguese	6	0	5	0	11
latinostudies	Latino Studies	2	0	1	0	3
mathematics	Mathematics	27	0	20	0	47
mathematicsstatistics	Mathematics-Statistics **	0	3	0	0	3
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	12	0	5	0	17
music	Music	16	0	3	0	19
neuroscienceandbehavior	Biological Sciences-Psychology **	0	39	0	0	39
philosophy	Philosophy	23	0	16	0	39
physics	Physics	16	0	3	0	19
politicalscience	Political Science	114	0	23	0	137
psychology	Psychology	47	0	25	0	72
regionalstudies	Associated Institutes	2	0	0	0	2
religion	Religion	11	0	1	0	12
russian	Slavic Languages	2	0	1	0	3
sociology	Sociology	12	0	10	0	22
spanishlanguageandliterature	Spanish & Portuguese	5	0	13	0	18
statistics	Statistics	0	0	1	0	1
urbanstudies	Urban Studies	20	0	0	0	20
visualarts	Visual Arts (School of The Arts)	9	0	5	0	14
women'sandgenderstudies	Women's and Gender Studies	2	0	4	0	6
grandtotals	Grand Totals	925	118	291	0	1334
NA	NA	NA	NA	NA	Total Number of Degrees	1054
