Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
africanstudies	Institute of African Studies	1	0	2	0	3
africanamericanstudies	Institute for Research inAfrican American Studies	5	0	2	0	7
americanstudies	American Studies	17	0	3	0	20
ancientstudies	Classics	1	0	0	0	1
anthropology	Anthropology	36	0	11	0	47
appliedmathematics	Mathematics	7	0	0	0	7
archaeology	Archaeology	1	0	3	0	4
architecture	Architecture (Barnard)	12	0	0	0	12
arthistory	Art History & Archaeology	35	0	15	0	50
arthistoryandvisualarts	Art History &Archaeology-Visual Arts (School of The Arts) **	0	3	0	0	3
astronomy	Astronomy	2	0	0	0	2
astrophysics	Astronomy-Physics **	0	3	0	0	3
biochemistry	Biological Sciences-Chemistry**	0	19	0	0	19
biology	Biological Sciences	61	0	2	0	63
biophysics	Biological Sciences-Physics **	0	4	0	0	4
chemicalphysics	Chemistry-Physics**	0	2	0	0	2
chemistry	Chemistry	14	0	3	0	17
classics	Classics	7	0	2	0	9
comparativeethnicstudies	Center for the Study ofEthnicity and Race	2	0	0	0	2
comparativeliteratureandsociety	Center for ComparativeLiterature and Society	12	0	2	0	14
computerscience	ComputerScience	18	0	12	0	30
computerscienceandmathematics	Computer Science-Mathematics **	0	3	0	0	3
creativewriting	Writing: Undergraduate (SchoolOf The Arts)	24	0	0	0	24
dance	Dance (Barnard)	4	0	1	0	5
dramaandtheatrearts	Drama And Theatre Arts	6	0	0	0	6
earthscience	Earth andEnvironmental Sciences	4	0	0	0	4
eastasianstudies	East Asian Languages &Cultures	14	0	4	0	18
economics	Economics	87	0	6	0	93
economicsmathematics	Economics-Mathematics **	0	34	0	0	34
economicsoperationsresearch	Economics-IndustrialEngineering & Operations Research **	0	1	0	0	1
economicsphilosophy	Economics-Philosophy**	0	19	0	0	19
economicspoliticalscience	Economics-Political Science **	0	16	0	0	16
economicsstatistics	Economics-Statistics **	0	5	0	0	5
english	English & ComparativeLiterature	83	0	13	0	96
environmentalbiology	Ecology, Evolution, andEnvironmental Biology	12	0	1	0	13
environmentalscience	Earth andEnvironmental Sciences	3	0	6	0	9
ethnicityandracestudies	Center for the Study ofEthnicity and Race	15	0	5	0	20
evolutionarybiologyofthehumanspecies	Ecology, Evolution, andEnvironmental Biology	7	0	1	0	8
filmstudies	Film (School Of The Arts)	15	0	0	0	15
financialeconomics	Economics	44	0	0	0	44
french	French &Romance Philology	6	0	6	0	12
frenchandfrancophonestudies	French & Romance Philology	11	0	1	0	12
germanliteratureandculturalhistory	Germanic Languages	0	0	3	0	3
hispanicstudies	Latin American and IberianCultures	13	0	10	0	23
hispanicstudieswithspecialization	Latin American and IberianCultures	3	0	0	0	3
history	History	79	0	19	0	98
historyandtheoryofarchitecture	Art History & Archaeology	2	0	2	0	4
humanrights	Center For Study Of HumanRights	4	0	5	0	9
informationsciences	Computer Science	2	0	0	0	2
italianculturalstudies	Italian	0	0	1	0	1
italianliterature	Italian	0	0	2	0	2
latin-americanandcaribbean	Latin American and IberianCultures	5	0	0	0	5
linguistics	Columbia College	6	0	0	0	6
mathematics	Mathematics	22	0	29	0	51
mathematicsstatistics	Mathematics-Statistics **	0	6	0	0	6
middleeastandasianlanguagesandcultures	Middle East andAsian Languages and Cultures	18	0	1	0	19
music	Music	13	0	4	0	17
neuroscienceandbehavior	Biological Sciences-Psychology**	0	65	0	0	65
philosophy	Philosophy	39	0	16	0	55
physics	Physics	25	0	5	0	30
politicalscience	PoliticalScience	114	0	19	0	133
politicalsciencestatistics	Political Science-Statistics **	0	2	0	0	2
portuguese	Latin American and IberianCultures	0	0	4	0	4
psychology	Psychology	73	0	31	0	104
religion	Religion	5	0	3	0	8
russianlanuagesandcultures	SlavicLanguages	2	0	3	0	5
russianliteratureandcultures	Slavic Languages	3	0	0	0	3
slavicstudies	Slavic Languages	4	0	0	0	4
sociology	Sociology	20	0	1	0	21
statistics	Statistics	4	0	4	0	8
sustainabledevelopment	Earth Institute	13	0	0	0	13
urbanstudies	Urban Studies	16	0	0	0	16
visualarts	Visual Arts (School of TheArts)	5	0	5	0	10
women'sandgenderstudies	Women's and Gender Studies	6	0	0	0	6
Grand Totals	Grand Totals	1062	182	268	0	1512
NA	NA	NA	NA	NA	Total Number of Degrees	1154
