Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
appliedmathematics	Applied Physics And Applied Mathematics	20	0	0	0	20
appliedmathematics	Engineering	0	0	0	4	4
appliedphysics	Applied Physics And Applied Mathematics	4	0	0	0	4
appliedphysics	Engineering	0	0	0	1	1
architecture	Engineering	0	0	0	1	1
biomedicalengineering	Biomedical Engineering	41	0	0	0	41
biomedicalengineering	Engineering	0	0	0	6	6
chemicalengineering	Chemical Engineering	20	0	0	0	20
chemicalengineering	Engineering	0	0	0	4	4
civilengineering	Civil Engineering & Engineering Mechanics	17	0	0	0	17
computerengineering	Computer Science-Electrical Engineering **	0	25	0	0	25
computerscience	Computer Science	71	0	0	0	71
computerscience	Engineering	0	0	0	10	10
earthandenvironmentalengineering	Earth & Environ. Engineering	6	0	0	0	6
earthandenvironmentalengineering	Engineering	0	0	0	1	1
economics	Engineering	0	0	0	87	87
electricalengineering	Electrical Engineering	34	0	0	0	34
electricalengineering	Engineering	0	0	0	1	1
engineeringandmanagementsystems	Industrial Engineering & Operations Research	0	0	0	0	1
engineeringmechanics	Civil Engineering & Engineering Mechanics	2	0	0	0	2
engineeringmechanics	Engineering	0	0	0	2	2
englishandcomparativeliterature	Engineering	0	0	0	2	2
industrialengineering	Engineering	0	0	0	1	1
industrialengineering	Industrial Engineering & Operations Research	4	0	0	0	4
materialsscienceandengineering	Applied Physics And Applied Mathematics	2	0	0	0	2
materialsscienceandengineering	Engineering	0	0	0	2	2
mechanicalengineering	Engineering	0	0	0	2	2
mechanicalengineering	Mechanical Engineering	17	0	0	0	17
music	Engineering	0	0	0	1	1
operationsresearch	Industrial Engineering & Operations Research	22	0	0	0	22
operationsresearch:engineeringandmanagementsystems	Industrial Engineering & Operations Research	58	0	0	0	58
philosophy	Engineering	0	0	0	2	2
politicalscience	Engineering	0	0	0	2	2
psychology	Engineering	0	0	0	1	1
Grand Totals	Grand Totals	318	25	0	130	474
NA	NA	NA	NA	NA	Total Number of Degrees	343
