Program Description	Offering Unit(s)	Major	Interdepartmental Major	Concentration	Minor	Totals
appliedmathematics	Applied Physics And Applied Mathematics	30	0	0	0	30
appliedmathematics	Engineering	0	0	0	1	1
appliedphysics	Applied Physics And Applied Mathematics	8	0	0	0	8
architecture	Engineering	0	0	0	6	6
biomedicalengineering	Biomedical Engineering	43	0	0	0	43
chemicalengineering	Chemical Engineering	36	0	0	0	36
chemicalengineering	Engineering	0	0	0	2	2
civilengineering	Civil Engineering & Engineering Mechanics	51	0	0	0	51
computerengineering	Computer Science-Electrical Engineering **	0	5	0	0	5
computerscience	Computer Science	23	0	0	0	23
computerscience	Engineering	0	0	0	13	13
earthandenvironmentalengineering	Earth & Environ. Engineering	15	0	0	0	15
earthandenvironmentalengineering	Engineering	0	0	0	10	10
eastasianlanguagesandcultures	Engineering	0	0	0	4	4
economics	Engineering	0	0	0	78	78
electricalengineering	Electrical Engineering	24	0	0	0	24
electricalengineering	Engineering	0	0	0	3	3
entrepreneurship	Engineering	0	0	0	9	9
french	Engineering	0	0	0	2	2
history	Engineering	0	0	0	3	3
industrialengineering	Industrial Engineering & Operations Research	6	0	0	0	6
materialsscienceandengineering	Applied Physics And Applied Mathematics	4	0	0	0	4
materialsscienceandengineering	Engineering	0	0	0	1	1
mechanicalengineering	Engineering	0	0	0	7	7
mechanicalengineering	Mechanical Engineering	43	0	0	0	43
music	Engineering	0	0	0	2	2
operationsresearch	Engineering	0	0	0	1	1
operationsresearch	Industrial Engineering & Operations Research	28	0	0	0	28
operationsresearch financialengineering	Industrial Engineering & Operations Research	17	0	0	0	17
operationsresearch engineeringandmanagementsystems	Industrial Engineering & Operations Research	53	0	0	0	53
philosophy	Engineering	0	0	0	1	1
politicalscience	Engineering	0	0	0	3	3
psychology	Engineering	0	0	0	7	7
statistics	Engineering	0	0	0	1	1
grandtotals	Grand Totals	381	5	0	154	540
NA	NA	NA	NA	NA	Total Number of Degrees	390
