Major	2003-2004	2004-2005	2005-2006	2006-2007	2007-2008	2008-2009	2009-2010	2010-2011	2011-2012	2012-2013
Total Number of Degrees	343	341	377	378	366	392	390	356	416	431
anthropology	0	0	0	0	0	0	0	0	0	0
appliedmathematics	0	0	0	0	0	0	0	0	0	30
appliedphysics	0	14	13	13	15	16	8	8	10	16
architecture	0	0	0	0	0	0	0	0	0	0
arthistory	0	0	0	0	0	0	0	0	0	0
biomedicalengineering	0	0	0	0	0	0	43	0	35	42
chemicalengineering	0	21	0	0	29	33	0	37	44	32
civilengineering	17	0	0	0	0	0	51	0	42	45
computerengineering	0	0	0	0	0	0	0	0	0	0
computerscience	0	0	0	0	0	0	0	0	30	43
dance	0	0	0	0	0	0	0	0	0	0
earthandenvironmentalengineering	0	0	0	0	0	0	0	0	26	22
eastasianlanguagesandcultures	0	0	0	0	0	0	0	0	0	0
economics	0	0	0	0	0	0	0	0	0	0
electricalengineering	0	0	25	31	30	0	0	0	24	34
engineeringandmanagementsystems	0	0	0	0	0	0	0	0	0	0
engineeringmechanics	0	1	0	1	0	0	0	0	0	1
englishandcomparativeliterature	0	0	0	0	0	0	0	0	0	0
entrepreneurship	0	0	0	0	0	0	0	0	0	0
french	0	0	0	0	0	0	0	0	0	0
german	0	0	0	0	0	0	0	0	0	0
grandtotals	318	325	361	363	357	381	381	349	397	415
greekorlatin	0	0	0	0	0	0	0	0	0	0
hispanicstudies	0	0	0	0	0	0	0	0	0	0
history	0	0	0	0	0	0	0	0	0	0
histpanistudies	0	0	0	0	0	0	0	0	0	0
industrialengineering	4	1	7	4	12	1	6	6	3	2
materialsscienceandengineering	0	0	0	0	0	0	0	0	3	9
mechanicalengineering	17	38	39	56	38	54	43	38	64	61
middleeastandasianlanguagesandcultures	0	0	0	0	0	0	0	0	0	0
music	0	0	0	0	0	0	0	0	0	0
operationsresearch	22	21	29	21	19	27	28	15	22	16
operationsresearch:engineeringandmanagementsystems	58	44	43	37	36	32	53	44	45	35
operationsresearch:financialengineering	0	0	0	0	20	23	17	16	26	27
philosophy	0	0	0	0	0	0	0	0	0	0
politicalscience	0	0	0	0	0	0	0	0	0	0
psychology	0	0	0	0	0	0	0	0	0	0
religion	0	0	0	0	0	0	0	0	0	0
sociology	0	0	0	0	0	0	0	0	0	0
spanish	0	0	0	0	0	0	0	0	0	0
statistics	0	0	0	0	0	0	0	0	0	0
sustainableengineering	0	0	0	0	0	0	0	0	0	0
