Program Description	Offering Unit(s)	Major	Interdepartmental Major	Concentration	Minor	Totals
africanamericanstudies	Institute for Research in African American Studies	2	0	0	0	2
americanstudies	American Studies	5	0	0	0	5
ancientstudies	Classics	1	0	0	0	1
anthropology	Anthropology	8	0	0	0	8
architecture	Architecture (Barnard)	2	0	0	0	2
architecture	Architecture, Planning And Preservation	1	0	0	0	1
arthistory	Art History & Archaeology	3	0	1	0	4
biologicalsciences	Biological Sciences	4	0	0	0	4
classics	Classics	1	0	0	0	1
comparativeethnicstudies	Center for the Study of Ethnicity and Race	1	0	0	0	1
comparativeliteratureandsociety	Center for Comparative Literature and Society	1	0	0	0	1
computerscience	Computer Science	2	0	0	0	2
creativewriting	Writing: Undergraduate (School Of The Arts)	1	0	0	0	1
dance	Dance (Barnard)	0	0	1	0	1
eastasianstudies	East Asian Languages & Cultures	3	0	0	0	3
economics	Economics	24	0	1	0	25
economicsmathematics	Economics-Mathematics **	0	7	0	0	7
economicsoperationsresearch	Economics-Industrial Engineering & Operations Research**	0	2	0	0	2
economicsphilosophy	Economics-Philosophy **	0	1	0	0	1
economicspoliticalscience	Economics-Political Science **	0	2	0	0	2
english	English & Comparative Literature	12	0	2	0	14
englishliterature	English & Comparative Literature	6	0	0	0	6
environmentalbiology	Ecology, Evolution, and Environmental Biology	2	0	0	0	2
environmentalscience	Earth and Environmental Sciences	1	0	0	0	1
evolutionarybiologyofthehumanspecies	Ecology, Evolution, and Environmental Biology	1	0	0	0	1
filmstudies	Film (School Of The Arts)	3	0	0	0	3
french	French & Romance Philology	4	0	0	0	4
hispanicstudieswithspecialization	Spanish & Portuguese	1	0	0	0	1
history	History	27	0	2	0	29
historyandtheoryofarchitecture	Art History & Archaeology	4	0	0	0	4
italian	Italian	1	0	0	0	1
italianculturalstudies	Italian	2	0	0	0	2
latinostudies	Latino Studies	1	0	0	0	1
linguistics	Linguistics (BARNARD)	0	0	1	0	1
linguistics	Slavic Languages	0	0	1	0	1
literatureandwriting	Writing: Undergraduate (School Of The Arts)	12	0	0	0	12
mathematics	Mathematics	6	0	0	0	6
mathematicsstatistics	Mathematics-Statistics **	0	1	0	0	1
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	2	0	0	0	2
music	Music	2	0	0	0	2
neuroscienceandbehavior	Biological Sciences-Psychology **	0	11	0	0	11
philosophy	Philosophy	6	0	0	0	6
physics	Physics	1	0	0	0	1
politicalscience	Political Science	38	0	0	0	38
premedical	General Studies	0	0	2	0	2
psychology	Psychology	23	0	1	0	24
regionalstudies	Associated Institutes	1	0	0	0	1
religion	Religion	3	0	0	0	3
russianlanguageandliterature	Slavic Languages	1	0	0	0	1
sociology	Psychology	0	0	1	0	1
sociology	Sociology	10	0	1	0	11
spanishlanguageandliterature	Spanish & Portuguese	1	0	0	0	1
theatrearts	Drama And Theatre Arts	1	0	0	0	1
urbanstudies	Urban Studies	1	0	0	0	1
visualarts	Visual Arts (School of The Arts)	5	0	0	0	5
writing	Writing: Undergraduate (School Of The Arts)	0	0	3	0	3
grandtotals	Grand Totals	237	24	17	0	278
NA	NA	NA	NA	NA	Total Number of Degrees	254
