Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	7	0.4166666666666667	0.004694835680751174	0.006572769953051643	0.011267605633802818
2004	2	5	0.2857142857142857	0.0020554984583761563	0.0051387461459403904	0.007194244604316547
2005	6	7	0.46153846153846156	0.0056925996204933585	0.006641366223908918	0.012333965844402278
2006	4	1	0.8	0.0039447731755424065	0.0009861932938856016	0.004930966469428008
2007	4	3	0.5714285714285714	0.003887269193391642	0.0029154518950437317	0.006802721088435374
2008	2	2	0.5	0.0019249278152069298	0.0019249278152069298	0.0038498556304138597
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	0	1	0.0	0.0	0.0009718172983479105	0.0009718172983479105
2011	3	0	1.0	0.0027447392497712718	0.0	0.0027447392497712718
2012	5	2	0.7142857142857143	0.004332755632582322	0.0017331022530329288	0.006065857885615251
