Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	19	5	0.7916666666666666	0.01784037558685446	0.004694835680751174	0.022535211267605635
2004	13	9	0.5909090909090909	0.013360739979445015	0.009249743062692703	0.022610483042137718
2005	21	7	0.75	0.019924098671726755	0.006641366223908918	0.026565464895635674
2006	23	9	0.71875	0.022682445759368838	0.008875739644970414	0.03155818540433925
2007	13	7	0.65	0.012633624878522837	0.006802721088435374	0.019436345966958212
2008	14	6	0.7	0.013474494706448507	0.005774783445620789	0.019249278152069296
2009	10	3	0.7692307692307693	0.00949667616334283	0.002849002849002849	0.012345679012345678
2010	9	1	0.9	0.008746355685131196	0.0009718172983479105	0.009718172983479106
2011	8	1	0.8888888888888888	0.007319304666056725	0.0009149130832570906	0.008234217749313814
2012	17	3	0.85	0.014731369150779897	0.0025996533795493936	0.01733102253032929
