Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	0	0	0.5	0.0	0.0	0.0
2006	0	1	0.0	0.0	0.0009861932938856016	0.0009861932938856016
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	0	0	0.5	0.0	0.0	0.0
2011	1	0	1.0	0.0009149130832570906	0.0	0.0009149130832570906
2012	1	0	1.0	0.0008665511265164644	0.0	0.0008665511265164644
