Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	23	10	0.696969696969697	0.0215962441314554	0.009389671361502348	0.030985915492957747
2004	19	10	0.6551724137931034	0.019527235354573486	0.010277492291880781	0.029804727646454265
2005	24	9	0.7272727272727273	0.022770398481973434	0.008538899430740038	0.031309297912713474
2006	15	10	0.6	0.014792899408284023	0.009861932938856016	0.02465483234714004
2007	21	14	0.6	0.02040816326530612	0.013605442176870748	0.034013605442176874
2008	27	19	0.5869565217391305	0.02598652550529355	0.01828681424446583	0.04427333974975938
2009	40	13	0.7547169811320755	0.03798670465337132	0.012345679012345678	0.050332383665717
2010	29	11	0.725	0.028182701652089408	0.010689990281827016	0.038872691933916424
2011	43	16	0.7288135593220338	0.039341262580054895	0.01463860933211345	0.053979871912168347
2012	36	11	0.7659574468085106	0.03119584055459272	0.009532062391681109	0.04072790294627383
