Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.0009861932938856016	0.0	0.0009861932938856016
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2011	3	0	1.0	0.0027447392497712718	0.0	0.0027447392497712718
2012	7	0	1.0	0.006065857885615251	0.0	0.006065857885615251
