Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0009389671361502347	0.0009389671361502347
2004	6	0	1.0	0.006166495375128468	0.0	0.006166495375128468
2005	3	2	0.6	0.0028462998102466793	0.0018975332068311196	0.004743833017077799
2006	0	2	0.0	0.0	0.0019723865877712033	0.0019723865877712033
2007	4	2	0.6666666666666666	0.003887269193391642	0.001943634596695821	0.0058309037900874635
2008	3	0	1.0	0.0028873917228103944	0.0	0.0028873917228103944
2009	1	1	0.5	0.000949667616334283	0.000949667616334283	0.001899335232668566
2010	7	0	1.0	0.006802721088435374	0.0	0.006802721088435374
2011	5	1	0.8333333333333334	0.004574565416285453	0.0009149130832570906	0.0054894784995425435
2012	1	3	0.25	0.0008665511265164644	0.0025996533795493936	0.0034662045060658577
