Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	16	0	1.0	0.01644398766700925	0.0	0.01644398766700925
2005	10	0	1.0	0.009487666034155597	0.0	0.009487666034155597
2006	15	0	1.0	0.014792899408284023	0.0	0.014792899408284023
2007	19	0	1.0	0.0184645286686103	0.0	0.0184645286686103
2008	23	0	1.0	0.02213666987487969	0.0	0.02213666987487969
2009	10	0	1.0	0.00949667616334283	0.0	0.00949667616334283
2010	10	0	1.0	0.009718172983479106	0.0	0.009718172983479106
2011	16	0	1.0	0.01463860933211345	0.0	0.01463860933211345
2012	12	0	1.0	0.010398613518197574	0.0	0.010398613518197574
