Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	23	25	0.4791666666666667	0.0215962441314554	0.023474178403755867	0.04507042253521127
2004	29	22	0.5686274509803921	0.029804727646454265	0.022610483042137718	0.052415210688591986
2005	31	17	0.6458333333333334	0.029411764705882353	0.016129032258064516	0.04554079696394687
2006	35	16	0.6862745098039216	0.03451676528599606	0.015779092702169626	0.05029585798816568
2007	22	13	0.6285714285714286	0.021379980563654033	0.012633624878522837	0.034013605442176874
2008	22	13	0.6285714285714286	0.021174205967276226	0.012512030798845043	0.03368623676612127
2009	24	13	0.6486486486486487	0.022792022792022793	0.012345679012345678	0.03513770180436847
2010	20	8	0.7142857142857143	0.019436345966958212	0.007774538386783284	0.027210884353741496
2011	26	14	0.65	0.023787740164684355	0.012808783165599268	0.036596523330283626
2012	35	15	0.7	0.030329289428076257	0.012998266897746967	0.043327556325823226
