Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.0018779342723004694	0.0	0.0018779342723004694
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	2	0	1.0	0.0018975332068311196	0.0	0.0018975332068311196
2006	0	0	0.5	0.0	0.0	0.0
2007	4	0	1.0	0.003887269193391642	0.0	0.003887269193391642
2008	4	0	1.0	0.0038498556304138597	0.0	0.0038498556304138597
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	3	0	1.0	0.0029154518950437317	0.0	0.0029154518950437317
2011	6	0	1.0	0.0054894784995425435	0.0	0.0054894784995425435
2012	3	0	1.0	0.0025996533795493936	0.0	0.0025996533795493936
