Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	1	0	1.0	0.0010277492291880781	0.0	0.0010277492291880781
2005	1	0	1.0	0.0009487666034155598	0.0	0.0009487666034155598
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	3	1	0.75	0.0028873917228103944	0.0009624639076034649	0.0038498556304138597
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	1	0	1.0	0.0009149130832570906	0.0	0.0009149130832570906
2012	0	0	0.5	0.0	0.0	0.0
