Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	0	1.0	0.003755868544600939	0.0	0.003755868544600939
2004	0	5	0.0	0.0	0.0051387461459403904	0.0051387461459403904
2005	1	3	0.25	0.0009487666034155598	0.0028462998102466793	0.003795066413662239
2006	1	2	0.3333333333333333	0.0009861932938856016	0.0019723865877712033	0.0029585798816568047
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	2	1	0.6666666666666666	0.001943634596695821	0.0009718172983479105	0.0029154518950437317
2011	1	0	1.0	0.0009149130832570906	0.0	0.0009149130832570906
2012	2	0	1.0	0.0017331022530329288	0.0	0.0017331022530329288
