Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	4	0	1.0	0.0041109969167523125	0.0	0.0041109969167523125
2005	5	0	1.0	0.004743833017077799	0.0	0.004743833017077799
2006	2	0	1.0	0.0019723865877712033	0.0	0.0019723865877712033
2007	4	0	1.0	0.003887269193391642	0.0	0.003887269193391642
2008	5	0	1.0	0.004812319538017324	0.0	0.004812319538017324
2009	5	0	1.0	0.004748338081671415	0.0	0.004748338081671415
2010	4	0	1.0	0.003887269193391642	0.0	0.003887269193391642
2011	4	0	1.0	0.0036596523330283625	0.0	0.0036596523330283625
2012	3	0	1.0	0.0025996533795493936	0.0	0.0025996533795493936
