Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	14	0	1.0	0.013145539906103286	0.0	0.013145539906103286
2004	11	0	1.0	0.011305241521068859	0.0	0.011305241521068859
2005	15	0	1.0	0.014231499051233396	0.0	0.014231499051233396
2006	21	0	1.0	0.020710059171597635	0.0	0.020710059171597635
2007	19	0	1.0	0.0184645286686103	0.0	0.0184645286686103
2008	15	0	1.0	0.014436958614051972	0.0	0.014436958614051972
2009	18	0	1.0	0.017094017094017096	0.0	0.017094017094017096
2010	21	0	1.0	0.02040816326530612	0.0	0.02040816326530612
2011	19	0	1.0	0.01738334858188472	0.0	0.01738334858188472
2012	19	0	1.0	0.016464471403812825	0.0	0.016464471403812825
