Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	40	4	0.9090909090909091	0.03755868544600939	0.003755868544600939	0.04131455399061033
2004	29	2	0.9354838709677419	0.029804727646454265	0.0020554984583761563	0.03186022610483042
2005	30	2	0.9375	0.028462998102466792	0.0018975332068311196	0.030360531309297913
2006	22	7	0.7586206896551724	0.021696252465483234	0.006903353057199211	0.028599605522682446
2007	41	2	0.9534883720930233	0.03984450923226433	0.001943634596695821	0.04178814382896016
2008	41	3	0.9318181818181818	0.03946102021174206	0.0028873917228103944	0.04234841193455245
2009	38	5	0.8837209302325582	0.03608736942070275	0.004748338081671415	0.04083570750237417
2010	40	2	0.9523809523809523	0.038872691933916424	0.001943634596695821	0.04081632653061224
2011	38	3	0.926829268292683	0.03476669716376944	0.0027447392497712718	0.03751143641354071
2012	61	2	0.9682539682539683	0.05285961871750433	0.0017331022530329288	0.05459272097053726
