Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	1	0	1.0	0.0010277492291880781	0.0	0.0010277492291880781
2005	1	0	1.0	0.0009487666034155598	0.0	0.0009487666034155598
2006	2	0	1.0	0.0019723865877712033	0.0	0.0019723865877712033
2007	2	0	1.0	0.001943634596695821	0.0	0.001943634596695821
2008	2	0	1.0	0.0019249278152069298	0.0	0.0019249278152069298
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	4	0	1.0	0.003887269193391642	0.0	0.003887269193391642
2011	4	0	1.0	0.0036596523330283625	0.0	0.0036596523330283625
2012	4	0	1.0	0.0034662045060658577	0.0	0.0034662045060658577
