Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	2	0	1.0	0.0018298261665141812	0.0	0.0018298261665141812
2012	2	0	1.0	0.0017331022530329288	0.0	0.0017331022530329288
