Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	1	0.8	0.003755868544600939	0.0009389671361502347	0.004694835680751174
2004	5	2	0.7142857142857143	0.0051387461459403904	0.0020554984583761563	0.007194244604316547
2005	12	0	1.0	0.011385199240986717	0.0	0.011385199240986717
2006	4	2	0.6666666666666666	0.0039447731755424065	0.0019723865877712033	0.005917159763313609
2007	6	3	0.6666666666666666	0.0058309037900874635	0.0029154518950437317	0.008746355685131196
2008	4	1	0.8	0.0038498556304138597	0.0009624639076034649	0.004812319538017324
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	6	1	0.8571428571428571	0.0058309037900874635	0.0009718172983479105	0.006802721088435374
2011	9	6	0.6	0.008234217749313814	0.0054894784995425435	0.013723696248856358
2012	14	3	0.8235294117647058	0.012131715771230503	0.0025996533795493936	0.014731369150779897
