Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	8	1	0.8888888888888888	0.007511737089201878	0.0009389671361502347	0.008450704225352112
2004	9	3	0.75	0.009249743062692703	0.003083247687564234	0.012332990750256937
2005	7	4	0.6363636363636364	0.006641366223908918	0.003795066413662239	0.010436432637571158
2006	9	1	0.9	0.008875739644970414	0.0009861932938856016	0.009861932938856016
2007	6	1	0.8571428571428571	0.0058309037900874635	0.0009718172983479105	0.006802721088435374
2008	6	3	0.6666666666666666	0.005774783445620789	0.0028873917228103944	0.008662175168431183
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	8	1	0.8888888888888888	0.007774538386783284	0.0009718172983479105	0.008746355685131196
2011	9	2	0.8181818181818182	0.008234217749313814	0.0018298261665141812	0.010064043915827997
2012	7	2	0.7777777777777778	0.006065857885615251	0.0017331022530329288	0.00779896013864818
