Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	0	0	0.5	0.0	0.0	0.0
2005	3	2	0.6	0.0028462998102466793	0.0018975332068311196	0.004743833017077799
2006	4	2	0.6666666666666666	0.0039447731755424065	0.0019723865877712033	0.005917159763313609
2007	4	2	0.6666666666666666	0.003887269193391642	0.001943634596695821	0.0058309037900874635
2008	4	5	0.4444444444444444	0.0038498556304138597	0.004812319538017324	0.008662175168431183
2009	3	2	0.6	0.002849002849002849	0.001899335232668566	0.004748338081671415
2010	5	0	1.0	0.004859086491739553	0.0	0.004859086491739553
2011	5	0	1.0	0.004574565416285453	0.0	0.004574565416285453
2012	2	0	1.0	0.0017331022530329288	0.0	0.0017331022530329288
