Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	16	0	1.0	0.015023474178403756	0.0	0.015023474178403756
2004	14	0	1.0	0.014388489208633094	0.0	0.014388489208633094
2005	23	0	1.0	0.021821631878557873	0.0	0.021821631878557873
2006	21	0	1.0	0.020710059171597635	0.0	0.020710059171597635
2007	13	0	1.0	0.012633624878522837	0.0	0.012633624878522837
2008	13	0	1.0	0.012512030798845043	0.0	0.012512030798845043
2009	13	0	1.0	0.012345679012345678	0.0	0.012345679012345678
2010	12	1	0.9230769230769231	0.011661807580174927	0.0009718172983479105	0.012633624878522837
2011	15	2	0.8823529411764706	0.013723696248856358	0.0018298261665141812	0.01555352241537054
2012	12	2	0.8571428571428571	0.010398613518197574	0.0017331022530329288	0.012131715771230503
