Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	16	15	0.5161290322580645	0.015023474178403756	0.014084507042253521	0.02910798122065728
2004	11	5	0.6875	0.011305241521068859	0.0051387461459403904	0.01644398766700925
2005	10	6	0.625	0.009487666034155597	0.0056925996204933585	0.015180265654648957
2006	10	7	0.5882352941176471	0.009861932938856016	0.006903353057199211	0.016765285996055226
2007	6	3	0.6666666666666666	0.0058309037900874635	0.0029154518950437317	0.008746355685131196
2008	6	5	0.5454545454545454	0.005774783445620789	0.004812319538017324	0.010587102983638113
2009	6	8	0.42857142857142855	0.005698005698005698	0.007597340930674264	0.013295346628679962
2010	10	5	0.6666666666666666	0.009718172983479106	0.004859086491739553	0.014577259475218658
2011	12	6	0.6666666666666666	0.010978956999085087	0.0054894784995425435	0.01646843549862763
2012	18	12	0.6	0.01559792027729636	0.010398613518197574	0.025996533795493933
