Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	1	0	1.0	0.0009487666034155598	0.0	0.0009487666034155598
2006	3	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	0	0	0.5	0.0	0.0	0.0
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	3	0	1.0	0.0029154518950437317	0.0	0.0029154518950437317
2011	4	0	1.0	0.0036596523330283625	0.0	0.0036596523330283625
2012	3	0	1.0	0.0025996533795493936	0.0	0.0025996533795493936
