Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	2	0	1.0	0.001943634596695821	0.0	0.001943634596695821
2008	15	0	1.0	0.014436958614051972	0.0	0.014436958614051972
2009	15	0	1.0	0.014245014245014245	0.0	0.014245014245014245
2010	26	0	1.0	0.025267249757045675	0.0	0.025267249757045675
2011	33	0	1.0	0.03019213174748399	0.0	0.03019213174748399
2012	24	0	1.0	0.02079722703639515	0.0	0.02079722703639515
