Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	4	2	0.6666666666666666	0.0041109969167523125	0.0020554984583761563	0.006166495375128468
2005	4	0	1.0	0.003795066413662239	0.0	0.003795066413662239
2006	2	0	1.0	0.0019723865877712033	0.0	0.0019723865877712033
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	0	3	0.0	0.0	0.0028873917228103944	0.0028873917228103944
2009	0	1	0.0	0.0	0.000949667616334283	0.000949667616334283
2010	1	3	0.25	0.0009718172983479105	0.0029154518950437317	0.003887269193391642
2011	3	0	1.0	0.0027447392497712718	0.0	0.0027447392497712718
2012	4	1	0.8	0.0034662045060658577	0.0008665511265164644	0.004332755632582322
