Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	0	1.0	0.004694835680751174	0.0	0.004694835680751174
2004	1	0	1.0	0.0010277492291880781	0.0	0.0010277492291880781
2005	6	0	1.0	0.0056925996204933585	0.0	0.0056925996204933585
2006	3	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	2	0	1.0	0.0019249278152069298	0.0	0.0019249278152069298
2009	7	0	1.0	0.006647673314339981	0.0	0.006647673314339981
2010	5	0	1.0	0.004859086491739553	0.0	0.004859086491739553
2011	8	0	1.0	0.007319304666056725	0.0	0.007319304666056725
2012	6	0	1.0	0.005199306759098787	0.0	0.005199306759098787
