Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	0	1	0.0	0.0	0.0010277492291880781	0.0010277492291880781
2005	1	1	0.5	0.0009487666034155598	0.0009487666034155598	0.0018975332068311196
2006	2	1	0.6666666666666666	0.0019723865877712033	0.0009861932938856016	0.0029585798816568047
2007	0	0	0.5	0.0	0.0	0.0
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	4	2	0.6666666666666666	0.003887269193391642	0.001943634596695821	0.0058309037900874635
2011	1	0	1.0	0.0009149130832570906	0.0	0.0009149130832570906
2012	4	0	1.0	0.0034662045060658577	0.0	0.0034662045060658577
