Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	25	1	0.9615384615384616	0.023474178403755867	0.0009389671361502347	0.024413145539906103
2004	11	2	0.8461538461538461	0.011305241521068859	0.0020554984583761563	0.013360739979445015
2005	25	2	0.9259259259259259	0.023719165085388995	0.0018975332068311196	0.025616698292220113
2006	24	2	0.9230769230769231	0.023668639053254437	0.0019723865877712033	0.02564102564102564
2007	18	4	0.8181818181818182	0.01749271137026239	0.003887269193391642	0.021379980563654033
2008	21	2	0.9130434782608695	0.02021174205967276	0.0019249278152069298	0.02213666987487969
2009	19	2	0.9047619047619048	0.018043684710351376	0.001899335232668566	0.019943019943019943
2010	14	0	1.0	0.013605442176870748	0.0	0.013605442176870748
2011	23	5	0.8214285714285714	0.021043000914913082	0.004574565416285453	0.025617566331198535
2012	14	4	0.7777777777777778	0.012131715771230503	0.0034662045060658577	0.01559792027729636
