Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	93	28	0.768595041322314	0.08732394366197183	0.02629107981220657	0.1136150234741784
2004	100	21	0.8264462809917356	0.10277492291880781	0.02158273381294964	0.12435765673175746
2005	102	14	0.8793103448275862	0.0967741935483871	0.013282732447817837	0.11005692599620494
2006	93	24	0.7948717948717948	0.09171597633136094	0.023668639053254437	0.11538461538461539
2007	85	29	0.7456140350877193	0.0826044703595724	0.028182701652089408	0.11078717201166181
2008	108	21	0.8372093023255814	0.1039461020211742	0.02021174205967276	0.12415784408084697
2009	115	25	0.8214285714285714	0.10921177587844255	0.023741690408357077	0.13295346628679963
2010	107	18	0.856	0.10398445092322643	0.01749271137026239	0.12147716229348883
2011	93	19	0.8303571428571429	0.08508691674290943	0.01738334858188472	0.10247026532479414
2012	87	6	0.9354838709677419	0.07538994800693241	0.005199306759098787	0.0805892547660312
