Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	14	0	1.0	0.013145539906103286	0.0	0.013145539906103286
2004	17	0	1.0	0.017471736896197326	0.0	0.017471736896197326
2005	9	0	1.0	0.008538899430740038	0.0	0.008538899430740038
2006	11	0	1.0	0.010848126232741617	0.0	0.010848126232741617
2007	28	0	1.0	0.027210884353741496	0.0	0.027210884353741496
2008	20	0	1.0	0.019249278152069296	0.0	0.019249278152069296
2009	18	0	1.0	0.017094017094017096	0.0	0.017094017094017096
2010	23	0	1.0	0.022351797862001945	0.0	0.022351797862001945
2011	19	0	1.0	0.01738334858188472	0.0	0.01738334858188472
2012	34	0	1.0	0.029462738301559793	0.0	0.029462738301559793
