Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	0	1.0	0.003755868544600939	0.0	0.003755868544600939
2004	4	0	1.0	0.0041109969167523125	0.0	0.0041109969167523125
2005	10	0	1.0	0.009487666034155597	0.0	0.009487666034155597
2006	6	0	1.0	0.005917159763313609	0.0	0.005917159763313609
2007	6	0	1.0	0.0058309037900874635	0.0	0.0058309037900874635
2008	4	0	1.0	0.0038498556304138597	0.0	0.0038498556304138597
2009	4	0	1.0	0.003798670465337132	0.0	0.003798670465337132
2010	4	0	1.0	0.003887269193391642	0.0	0.003887269193391642
2011	7	0	1.0	0.006404391582799634	0.0	0.006404391582799634
2012	1	0	1.0	0.0008665511265164644	0.0	0.0008665511265164644
