Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	18	0	1.0	0.016901408450704224	0.0	0.016901408450704224
2004	9	0	1.0	0.009249743062692703	0.0	0.009249743062692703
2005	9	0	1.0	0.008538899430740038	0.0	0.008538899430740038
2006	14	0	1.0	0.013806706114398421	0.0	0.013806706114398421
2007	9	0	1.0	0.008746355685131196	0.0	0.008746355685131196
2008	19	0	1.0	0.01828681424446583	0.0	0.01828681424446583
2009	16	0	1.0	0.015194681861348529	0.0	0.015194681861348529
2010	15	0	1.0	0.014577259475218658	0.0	0.014577259475218658
2011	15	0	1.0	0.013723696248856358	0.0	0.013723696248856358
2012	19	0	1.0	0.016464471403812825	0.0	0.016464471403812825
