Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	37	0	1.0	0.03474178403755868	0.0	0.03474178403755868
2004	26	0	1.0	0.02672147995889003	0.0	0.02672147995889003
2005	24	0	1.0	0.022770398481973434	0.0	0.022770398481973434
2006	33	0	1.0	0.03254437869822485	0.0	0.03254437869822485
2007	25	0	1.0	0.024295432458697766	0.0	0.024295432458697766
2008	21	0	1.0	0.02021174205967276	0.0	0.02021174205967276
2009	22	0	1.0	0.020892687559354226	0.0	0.020892687559354226
2010	28	0	1.0	0.027210884353741496	0.0	0.027210884353741496
2011	29	0	1.0	0.026532479414455627	0.0	0.026532479414455627
2012	16	0	1.0	0.01386481802426343	0.0	0.01386481802426343
