Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	106	26	0.803030303030303	0.09953051643192488	0.024413145539906103	0.12394366197183099
2004	114	26	0.8142857142857143	0.1171634121274409	0.02672147995889003	0.14388489208633093
2005	98	25	0.7967479674796748	0.09297912713472485	0.023719165085388995	0.11669829222011385
2006	107	18	0.856	0.10552268244575937	0.01775147928994083	0.1232741617357002
2007	99	16	0.8608695652173913	0.09620991253644315	0.015549076773566569	0.11175898931000972
2008	87	8	0.9157894736842105	0.08373435996150144	0.007699711260827719	0.09143407122232916
2009	102	9	0.918918918918919	0.09686609686609686	0.008547008547008548	0.10541310541310542
2010	91	8	0.9191919191919192	0.08843537414965986	0.007774538386783284	0.09620991253644315
2011	73	2	0.9733333333333334	0.06678865507776761	0.0018298261665141812	0.0686184812442818
2012	83	13	0.8645833333333334	0.07192374350086655	0.011265164644714038	0.0831889081455806
