Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	15	0	1.0	0.014084507042253521	0.0	0.014084507042253521
2004	8	3	0.7272727272727273	0.008221993833504625	0.003083247687564234	0.011305241521068859
2005	8	1	0.8888888888888888	0.007590132827324478	0.0009487666034155598	0.008538899430740038
2006	4	2	0.6666666666666666	0.0039447731755424065	0.0019723865877712033	0.005917159763313609
2007	8	3	0.7272727272727273	0.007774538386783284	0.0029154518950437317	0.010689990281827016
2008	9	6	0.6	0.008662175168431183	0.005774783445620789	0.014436958614051972
2009	13	1	0.9285714285714286	0.012345679012345678	0.000949667616334283	0.013295346628679962
2010	6	3	0.6666666666666666	0.0058309037900874635	0.0029154518950437317	0.008746355685131196
2011	11	3	0.7857142857142857	0.010064043915827997	0.0027447392497712718	0.012808783165599268
2012	12	1	0.9230769230769231	0.010398613518197574	0.0008665511265164644	0.011265164644714038
