Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.0018779342723004694	0.0	0.0018779342723004694
2004	0	0	0.5	0.0	0.0	0.0
2005	2	0	1.0	0.0018975332068311196	0.0	0.0018975332068311196
2006	2	0	1.0	0.0019723865877712033	0.0	0.0019723865877712033
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	1	0	1.0	0.0009624639076034649	0.0	0.0009624639076034649
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	2	0	1.0	0.0018298261665141812	0.0	0.0018298261665141812
2012	0	0	0.5	0.0	0.0	0.0
