Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	4	2	0.6666666666666666	0.003755868544600939	0.0018779342723004694	0.005633802816901409
2004	3	3	0.5	0.003083247687564234	0.003083247687564234	0.006166495375128468
2005	2	0	1.0	0.0018975332068311196	0.0	0.0018975332068311196
2006	5	2	0.7142857142857143	0.004930966469428008	0.0019723865877712033	0.006903353057199211
2007	0	1	0.0	0.0	0.0009718172983479105	0.0009718172983479105
2008	8	1	0.8888888888888888	0.007699711260827719	0.0009624639076034649	0.008662175168431183
2009	8	5	0.6153846153846154	0.007597340930674264	0.004748338081671415	0.012345679012345678
2010	12	5	0.7058823529411765	0.011661807580174927	0.004859086491739553	0.01652089407191448
2011	6	3	0.6666666666666666	0.0054894784995425435	0.0027447392497712718	0.008234217749313814
2012	3	6	0.3333333333333333	0.0025996533795493936	0.005199306759098787	0.00779896013864818
