Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	1	0	1.0	0.0009487666034155598	0.0	0.0009487666034155598
2006	4	2	0.6666666666666666	0.0039447731755424065	0.0019723865877712033	0.005917159763313609
2007	8	1	0.8888888888888888	0.007774538386783284	0.0009718172983479105	0.008746355685131196
2008	2	2	0.5	0.0019249278152069298	0.0019249278152069298	0.0038498556304138597
2009	13	1	0.9285714285714286	0.012345679012345678	0.000949667616334283	0.013295346628679962
2010	4	1	0.8	0.003887269193391642	0.0009718172983479105	0.004859086491739553
2011	7	0	1.0	0.006404391582799634	0.0	0.006404391582799634
2012	7	1	0.875	0.006065857885615251	0.0008665511265164644	0.006932409012131715
