Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	26	0	1.0	0.024413145539906103	0.0	0.024413145539906103
2004	24	0	1.0	0.024665981500513873	0.0	0.024665981500513873
2005	26	0	1.0	0.024667931688804556	0.0	0.024667931688804556
2006	18	0	1.0	0.01775147928994083	0.0	0.01775147928994083
2007	20	0	1.0	0.019436345966958212	0.0	0.019436345966958212
2008	15	0	1.0	0.014436958614051972	0.0	0.014436958614051972
2009	12	0	1.0	0.011396011396011397	0.0	0.011396011396011397
2010	19	0	1.0	0.0184645286686103	0.0	0.0184645286686103
2011	25	0	1.0	0.022872827081427266	0.0	0.022872827081427266
2012	15	0	1.0	0.012998266897746967	0.0	0.012998266897746967
