Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	12	5	0.7058823529411765	0.011267605633802818	0.004694835680751174	0.01596244131455399
2004	10	3	0.7692307692307693	0.010277492291880781	0.003083247687564234	0.013360739979445015
2005	12	7	0.631578947368421	0.011385199240986717	0.006641366223908918	0.018026565464895637
2006	8	2	0.8	0.007889546351084813	0.0019723865877712033	0.009861932938856016
2007	7	4	0.6363636363636364	0.006802721088435374	0.003887269193391642	0.010689990281827016
2008	8	1	0.8888888888888888	0.007699711260827719	0.0009624639076034649	0.008662175168431183
2009	11	4	0.7333333333333333	0.010446343779677113	0.003798670465337132	0.014245014245014245
2010	6	3	0.6666666666666666	0.0058309037900874635	0.0029154518950437317	0.008746355685131196
2011	8	7	0.5333333333333333	0.007319304666056725	0.006404391582799634	0.013723696248856358
2012	6	6	0.5	0.005199306759098787	0.005199306759098787	0.010398613518197574
