Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	0	1.0	0.0009389671361502347	0.0	0.0009389671361502347
2004	0	2	0.0	0.0	0.0020554984583761563	0.0020554984583761563
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.0009861932938856016	0.0	0.0009861932938856016
2007	2	1	0.6666666666666666	0.001943634596695821	0.0009718172983479105	0.0029154518950437317
2008	6	0	1.0	0.005774783445620789	0.0	0.005774783445620789
2009	7	0	1.0	0.006647673314339981	0.0	0.006647673314339981
2010	6	0	1.0	0.0058309037900874635	0.0	0.0058309037900874635
2011	5	5	0.5	0.004574565416285453	0.004574565416285453	0.009149130832570906
2012	11	1	0.9166666666666666	0.009532062391681109	0.0008665511265164644	0.010398613518197574
