Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	6	1	0.8571428571428571	0.0056925996204933585	0.0009487666034155598	0.006641366223908918
2006	2	1	0.6666666666666666	0.0019723865877712033	0.0009861932938856016	0.0029585798816568047
2007	4	1	0.8	0.003887269193391642	0.0009718172983479105	0.004859086491739553
2008	6	2	0.75	0.005774783445620789	0.0019249278152069298	0.007699711260827719
2009	5	4	0.5555555555555556	0.004748338081671415	0.003798670465337132	0.008547008547008548
2010	1	2	0.3333333333333333	0.0009718172983479105	0.001943634596695821	0.0029154518950437317
2011	3	5	0.375	0.0027447392497712718	0.004574565416285453	0.007319304666056725
2012	0	3	0.0	0.0	0.0025996533795493936	0.0025996533795493936
