Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1049	288	0.7845923709798055	0.9849765258215962	0.2704225352112676	1.2553990610328638
2004	952	276	0.7752442996742671	0.9784172661870504	0.28365878725590954	1.2620760534429598
2005	1043	291	0.7818590704647677	0.9895635673624289	0.27609108159392787	1.2656546489563567
2006	990	276	0.7819905213270142	0.9763313609467456	0.27218934911242604	1.2485207100591715
2007	983	275	0.7813990461049285	0.9552964042759962	0.26724975704567544	1.2225461613216715
2008	1042	299	0.7770320656226697	1.0028873917228105	0.287776708373436	1.2906641000962464
2009	1090	245	0.8164794007490637	1.0351377018043684	0.23266856600189934	1.2678062678062678
2010	1078	209	0.8376068376068376	1.0476190476190477	0.2031098153547133	1.250728862973761
2011	1179	245	0.8279494382022472	1.0786825251601098	0.22415370539798718	1.302836230558097
2012	1244	268	0.8227513227513228	1.0779896013864818	0.2322357019064125	1.3102253032928943
