Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	1	3	0.25	0.0009389671361502347	0.0028169014084507044	0.003755868544600939
2004	1	0	1.0	0.0010277492291880781	0.0	0.0010277492291880781
2005	0	2	0.0	0.0	0.0018975332068311196	0.0018975332068311196
2006	4	7	0.36363636363636365	0.0039447731755424065	0.006903353057199211	0.010848126232741617
2007	13	8	0.6190476190476191	0.012633624878522837	0.007774538386783284	0.02040816326530612
2008	22	15	0.5945945945945946	0.021174205967276226	0.014436958614051972	0.0356111645813282
2009	15	12	0.5555555555555556	0.014245014245014245	0.011396011396011397	0.02564102564102564
2010	22	11	0.6666666666666666	0.021379980563654033	0.010689990281827016	0.03206997084548105
2011	11	10	0.5238095238095238	0.010064043915827997	0.009149130832570906	0.0192131747483989
2012	13	10	0.5652173913043478	0.011265164644714038	0.008665511265164644	0.01993067590987868
