Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	120	33	0.7843137254901961	0.11267605633802817	0.030985915492957747	0.14366197183098592
2004	91	24	0.7913043478260869	0.09352517985611511	0.024665981500513873	0.11819116135662898
2005	119	40	0.7484276729559748	0.11290322580645161	0.03795066413662239	0.150853889943074
2006	92	21	0.8141592920353983	0.09072978303747535	0.020710059171597635	0.11143984220907298
2007	86	41	0.6771653543307087	0.08357628765792031	0.03984450923226433	0.12342079689018465
2008	117	37	0.7597402597402597	0.1126082771896054	0.0356111645813282	0.1482194417709336
2009	112	25	0.8175182481751825	0.1063627730294397	0.023741690408357077	0.13010446343779677
2010	106	23	0.8217054263565892	0.10301263362487852	0.022351797862001945	0.12536443148688048
2011	110	12	0.9016393442622951	0.10064043915827996	0.010978956999085087	0.11161939615736505
2012	79	19	0.8061224489795918	0.0684575389948007	0.016464471403812825	0.08492201039861352
