Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.0018779342723004694	0.0	0.0018779342723004694
2004	2	3	0.4	0.0020554984583761563	0.003083247687564234	0.0051387461459403904
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	3	0	1.0	0.0028873917228103944	0.0	0.0028873917228103944
2009	4	1	0.8	0.003798670465337132	0.000949667616334283	0.004748338081671415
2010	2	0	1.0	0.001943634596695821	0.0	0.001943634596695821
2011	0	1	0.0	0.0	0.0009149130832570906	0.0009149130832570906
2012	2	2	0.5	0.0017331022530329288	0.0017331022530329288	0.0034662045060658577
