Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	1	0.0	0.0	0.0009389671361502347	0.0009389671361502347
2004	0	1	0.0	0.0	0.0010277492291880781	0.0010277492291880781
2005	0	1	0.0	0.0	0.0009487666034155598	0.0009487666034155598
2006	1	0	1.0	0.0009861932938856016	0.0	0.0009861932938856016
2007	2	0	1.0	0.001943634596695821	0.0	0.001943634596695821
2008	2	0	1.0	0.0019249278152069298	0.0	0.0019249278152069298
2009	0	1	0.0	0.0	0.000949667616334283	0.000949667616334283
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	1	0.0	0.0	0.0008665511265164644	0.0008665511265164644
