Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	2	0	1.0	0.0020554984583761563	0.0	0.0020554984583761563
2005	4	0	1.0	0.003795066413662239	0.0	0.003795066413662239
2006	1	0	1.0	0.0009861932938856016	0.0	0.0009861932938856016
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	0	0	0.5	0.0	0.0	0.0
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	0	0	0.5	0.0	0.0	0.0
2011	3	0	1.0	0.0027447392497712718	0.0	0.0027447392497712718
2012	0	2	0.0	0.0	0.0017331022530329288	0.0017331022530329288
