Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	7	1	0.875	0.006572769953051643	0.0009389671361502347	0.007511737089201878
2004	5	0	1.0	0.0051387461459403904	0.0	0.0051387461459403904
2005	6	5	0.5454545454545454	0.0056925996204933585	0.004743833017077799	0.010436432637571158
2006	1	1	0.5	0.0009861932938856016	0.0009861932938856016	0.0019723865877712033
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	0	0	0.5	0.0	0.0	0.0
2011	0	0	0.5	0.0	0.0	0.0
2012	0	0	0.5	0.0	0.0	0.0
