Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	0	0	0.5	0.0	0.0	0.0
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	0	0	0.5	0.0	0.0	0.0
2007	0	0	0.5	0.0	0.0	0.0
2008	2	0	1.0	0.0019249278152069298	0.0	0.0019249278152069298
2009	3	0	1.0	0.002849002849002849	0.0	0.002849002849002849
2010	5	0	1.0	0.004859086491739553	0.0	0.004859086491739553
2011	2	0	1.0	0.0018298261665141812	0.0	0.0018298261665141812
2012	6	0	1.0	0.005199306759098787	0.0	0.005199306759098787
