Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	15	22	0.40540540540540543	0.014084507042253521	0.020657276995305163	0.03474178403755868
2004	20	16	0.5555555555555556	0.020554984583761562	0.01644398766700925	0.03699897225077081
2005	27	20	0.574468085106383	0.025616698292220113	0.018975332068311195	0.04459203036053131
2006	18	18	0.5	0.01775147928994083	0.01775147928994083	0.03550295857988166
2007	26	19	0.5777777777777777	0.025267249757045675	0.0184645286686103	0.043731778425655975
2008	20	27	0.425531914893617	0.019249278152069296	0.02598652550529355	0.04523580365736285
2009	24	22	0.5217391304347826	0.022792022792022793	0.020892687559354226	0.04368471035137702
2010	34	18	0.6538461538461539	0.03304178814382896	0.01749271137026239	0.05053449951409135
2011	24	17	0.5853658536585366	0.021957913998170174	0.01555352241537054	0.03751143641354071
2012	22	29	0.43137254901960786	0.019064124783362217	0.02512998266897747	0.04419410745233969
