Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	5	0	1.0	0.004694835680751174	0.0	0.004694835680751174
2004	4	0	1.0	0.0041109969167523125	0.0	0.0041109969167523125
2005	3	0	1.0	0.0028462998102466793	0.0	0.0028462998102466793
2006	3	0	1.0	0.0029585798816568047	0.0	0.0029585798816568047
2007	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2008	3	0	1.0	0.0028873917228103944	0.0	0.0028873917228103944
2009	2	0	1.0	0.001899335232668566	0.0	0.001899335232668566
2010	5	0	1.0	0.004859086491739553	0.0	0.004859086491739553
2011	6	0	1.0	0.0054894784995425435	0.0	0.0054894784995425435
2012	6	0	1.0	0.005199306759098787	0.0	0.005199306759098787
