Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	15	5	0.75	0.014084507042253521	0.004694835680751174	0.018779342723004695
2004	13	9	0.5909090909090909	0.013360739979445015	0.009249743062692703	0.022610483042137718
2005	12	5	0.7058823529411765	0.011385199240986717	0.004743833017077799	0.016129032258064516
2006	15	7	0.6818181818181818	0.014792899408284023	0.006903353057199211	0.021696252465483234
2007	13	7	0.65	0.012633624878522837	0.006802721088435374	0.019436345966958212
2008	14	3	0.8235294117647058	0.013474494706448507	0.0028873917228103944	0.016361886429258902
2009	12	1	0.9230769230769231	0.011396011396011397	0.000949667616334283	0.012345679012345678
2010	19	3	0.8636363636363636	0.0184645286686103	0.0029154518950437317	0.021379980563654033
2011	18	2	0.9	0.01646843549862763	0.0018298261665141812	0.018298261665141813
2012	18	1	0.9473684210526315	0.01559792027729636	0.0008665511265164644	0.016464471403812825
