Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	17	3	0.85	0.01596244131455399	0.0028169014084507044	0.018779342723004695
2004	13	9	0.5909090909090909	0.013360739979445015	0.009249743062692703	0.022610483042137718
2005	16	3	0.8421052631578947	0.015180265654648957	0.0028462998102466793	0.018026565464895637
2006	10	6	0.625	0.009861932938856016	0.005917159763313609	0.015779092702169626
2007	13	6	0.6842105263157895	0.012633624878522837	0.0058309037900874635	0.0184645286686103
2008	8	5	0.6153846153846154	0.007699711260827719	0.004812319538017324	0.012512030798845043
2009	17	2	0.8947368421052632	0.016144349477682812	0.001899335232668566	0.018043684710351376
2010	9	5	0.6428571428571429	0.008746355685131196	0.004859086491739553	0.013605442176870748
2011	16	1	0.9411764705882353	0.01463860933211345	0.0009149130832570906	0.01555352241537054
2012	13	4	0.7647058823529411	0.011265164644714038	0.0034662045060658577	0.014731369150779897
