Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	34	0	1.0	0.03192488262910798	0.0	0.03192488262910798
2004	13	0	1.0	0.013360739979445015	0.0	0.013360739979445015
2005	39	0	1.0	0.03700189753320683	0.0	0.03700189753320683
2006	36	0	1.0	0.03550295857988166	0.0	0.03550295857988166
2007	32	0	1.0	0.031098153547133137	0.0	0.031098153547133137
2008	33	0	1.0	0.03176130895091434	0.0	0.03176130895091434
2009	44	0	1.0	0.04178537511870845	0.0	0.04178537511870845
2010	32	0	1.0	0.031098153547133137	0.0	0.031098153547133137
2011	47	0	1.0	0.043000914913083256	0.0	0.043000914913083256
2012	65	0	1.0	0.05632582322357019	0.0	0.05632582322357019
