Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	30	16	0.6521739130434783	0.028169014084507043	0.015023474178403756	0.0431924882629108
2004	31	13	0.7045454545454546	0.03186022610483042	0.013360739979445015	0.045220966084275435
2005	23	16	0.5897435897435898	0.021821631878557873	0.015180265654648957	0.03700189753320683
2006	34	15	0.6938775510204082	0.03353057199211045	0.014792899408284023	0.048323471400394474
2007	21	11	0.65625	0.02040816326530612	0.010689990281827016	0.031098153547133137
2008	24	14	0.631578947368421	0.023099133782483156	0.013474494706448507	0.03657362848893166
2009	22	8	0.7333333333333333	0.020892687559354226	0.007597340930674264	0.02849002849002849
2010	31	11	0.7380952380952381	0.03012633624878523	0.010689990281827016	0.04081632653061224
2011	34	11	0.7555555555555555	0.03110704483074108	0.010064043915827997	0.04117108874656908
2012	39	16	0.7090909090909091	0.033795493934142114	0.01386481802426343	0.047660311958405546
