Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	6	2	0.75	0.005633802816901409	0.0018779342723004694	0.007511737089201878
2004	11	4	0.7333333333333333	0.011305241521068859	0.0041109969167523125	0.015416238437821172
2005	16	3	0.8421052631578947	0.015180265654648957	0.0028462998102466793	0.018026565464895637
2006	16	3	0.8421052631578947	0.015779092702169626	0.0029585798816568047	0.01873767258382643
2007	14	1	0.9333333333333333	0.013605442176870748	0.0009718172983479105	0.014577259475218658
2008	8	5	0.6153846153846154	0.007699711260827719	0.004812319538017324	0.012512030798845043
2009	9	3	0.75	0.008547008547008548	0.002849002849002849	0.011396011396011397
2010	16	4	0.8	0.015549076773566569	0.003887269193391642	0.019436345966958212
2011	11	4	0.7333333333333333	0.010064043915827997	0.0036596523330283625	0.013723696248856358
2012	25	5	0.8333333333333334	0.021663778162911613	0.004332755632582322	0.025996533795493933
