Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	130	15	0.896551724137931	0.12206572769953052	0.014084507042253521	0.13615023474178403
2004	117	13	0.9	0.12024665981500514	0.013360739979445015	0.13360739979445016
2005	114	23	0.8321167883211679	0.10815939278937381	0.021821631878557873	0.12998102466793168
2006	118	21	0.8489208633093526	0.11637080867850098	0.020710059171597635	0.13708086785009863
2007	142	16	0.8987341772151899	0.1379980563654033	0.015549076773566569	0.15354713313896987
2008	115	27	0.8098591549295775	0.11068334937439846	0.02598652550529355	0.136669874879692
2009	128	23	0.847682119205298	0.12155745489078823	0.02184235517568851	0.14339981006647673
2010	115	16	0.8778625954198473	0.11175898931000972	0.015549076773566569	0.12730806608357628
2011	120	24	0.8333333333333334	0.10978956999085086	0.021957913998170174	0.13174748398902103
2012	114	19	0.8571428571428571	0.09878682842287695	0.016464471403812825	0.11525129982668977
