Year	Number of Majors	Number of Minors	Department Composition	Major Percentage	Minor Percentage	Combined Percentage
2003	2	0	1.0	0.0018779342723004694	0.0	0.0018779342723004694
2004	0	0	0.5	0.0	0.0	0.0
2005	0	0	0.5	0.0	0.0	0.0
2006	1	0	1.0	0.0009861932938856016	0.0	0.0009861932938856016
2007	0	0	0.5	0.0	0.0	0.0
2008	0	0	0.5	0.0	0.0	0.0
2009	0	0	0.5	0.0	0.0	0.0
2010	1	0	1.0	0.0009718172983479105	0.0	0.0009718172983479105
2011	0	0	0.5	0.0	0.0	0.0
2012	2	0	1.0	0.0017331022530329288	0.0	0.0017331022530329288
